Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Лубенець,Єва,Ігорівна,Жіноча,11.07.1939,Інженер,хутір Златопіль,"набережна 1-й Академічний тупик, буд. 3 кв. 2",084 608 26 85,ehaivoronska@example.net
Дубина,Святослава,Ігорівна,Жіноча,07.10.1995,Аналітик,селище Переяслав,"набережна Дур'янівський, буд. 07 кв. 9",154 61 70,ihnatnestaiko@example.net
Гавриш,Вікторія,Сергіївна,Жіноча,10.09.1964,Економіст,місто Кривий Ріг,"провулок Лиманчик 2-й Лінія 5-та, буд. 6 кв. 525",+380 47 775 26 57,khmaraviktoriia@example.com
Іванченко,Альбіна,Вікторівна,Жіноча,03.11.1956,Координатор,хутір Острог,"узвіз Назарівська, буд. 0 кв. 5",588-44-35,derhacholha@example.org
Гаврилюк,Олекса,Олександрович,Чоловіча,23.12.1951,HR-менеджер,хутір Довжанськ,"набережна Лінія 48-ма, буд. 60 кв. 330",+380 17 506 50 65,onysymlahoda@example.org
Перепелиця,Алла,Степанівна,Жіноча,19.08.1996,Консультант,село Алчевськ,"площа Іванова Ігоря, буд. 5",+380 07 213-19-97,dzyndraiustyna@example.org
Романенко,Прохір,Анатолійович,Чоловіча,08.12.1962,Юрист,село Авдіївка,"набережна Юннатів, буд. 351",+380 (01) 115-79-57,riaboshapkazynovii@example.net
Бевз,Дмитро,Максимович,Чоловіча,03.04.1992,Юрист,хутір Ірміно,"вулиця Керченський 2-й, буд. 848 кв. 086",022 457 48 63,olifirenkovolodymyra@example.org
Яценюк,Віра,Олегівна,Жіноча,06.08.1993,Менеджер,селище Борщів,"парк Ігоря Балмагії, буд. 4 кв. 427",194 41 86,terezakorsun@example.org
Авдєєнко,Петро,Вікторович,Чоловіча,15.04.1987,Консультант,селище Таврійськ,"узвіз Миколи Вороного, буд. 34 кв. 20",044 441-57-23,roman49@example.org
Василевич,Ірена,Вікторівна,Жіноча,07.07.1944,Керівник відділу,хутір Вишневе,"узвіз Штурвальна, буд. 800 кв. 536",+380 64 001-73-40,alla64@example.org
Дашкевич,Розалія,Іванівна,Жіноча,22.08.1968,Керівник відділу,село Олевськ,"парк Лиманна, буд. 520",093 233-65-59,orysia02@example.net
Демʼянчук,Варвара,Олегівна,Жіноча,25.01.1965,Програміст,місто Судак,"шосе Айвазовського, буд. 581 кв. 5",+380 48 216-97-60,baranihnat@example.com
Юрчишин,Юстим,Ігорович,Чоловіча,18.12.1988,Спеціаліст,селище Луцьк,"узвіз Щоголєва, буд. 42 кв. 184",+380 (83) 059-88-06,mhuz@example.org
Олійник,Руслан,Романович,Чоловіча,07.09.1941,Адміністратор,місто Щастя,"вулиця Сливова, буд. 8",+380 39 775 09 18,hannahaidamaka@example.net
Чарниш,Ярослава,Олегівна,Жіноча,05.01.1989,Консультант,село Яворів,"площа Лиманчик 2-й Лінія 3-тя, буд. 955 кв. 93",+380 89 525-20-72,riatseniuk@example.org
Дахно,Венедикт,Миколайович,Чоловіча,27.10.1961,Юрист,хутір Свалява,"парк Ключовий 1-й, буд. 820 кв. 7",+380 43 332-50-70,chervonenkomarta@example.net
Кармалюк,Григорій,Олександрович,Чоловіча,11.06.1984,Інженер,місто Арциз,"шосе Слобідський узвіз, буд. 85 кв. 692",000-42-11,bohuslavashmorhun@example.org
Дубенко,Ольга,Ігорівна,Жіноча,05.05.2005,Маркетолог,село Южноукраїнськ,"набережна Гвоздична, буд. 5",183-76-61,terezalaba@example.net
Шахрай,Демʼян,Максимович,Чоловіча,10.06.1984,Аналітик,селище Жашків,"вулиця Євгена Крамаренка, буд. 07 кв. 114",+380 10 797-15-59,nataliia11@example.com
Худяк,Михайло,Богданович,Чоловіча,25.12.1976,Економіст,місто Бахмут,"проспект Морський, буд. 64",+380 (09) 442-41-31,stefantychyna@example.com
Гайворонський,Левко,Степанович,Чоловіча,08.10.1989,Програміст,село Чигирин,"вулиця Спортивний, буд. 10",+380 60 053-53-60,wumanets@example.com
Рудько,Григорій,Олександрович,Чоловіча,24.09.1999,Бухгалтер,селище Любомль,"узвіз Миколи Леонтовича, буд. 4",+380 84 055-81-09,feofan09@example.net
Павлик,Тереза,Василівна,Жіноча,20.07.1993,Програміст,хутір Керч,"набережна Ніщинського Композитора, буд. 87",045 364 49 19,geregaklyment@example.net
Шамрай,Аврелій,Олегович,Чоловіча,05.01.1988,Аналітик,селище Мукачево,"вулиця Дальницьке, буд. 87",015 325-56-57,wdemianiuk@example.com
Бабак,Богодар,Анатолійович,Чоловіча,29.10.1983,Дизайнер,селище Борислав,"проспект Давида Ойстраха, буд. 492 кв. 2",059 449 02 59,somkosviatoslav@example.org
Даниленко,Ада,Григорівна,Жіноча,28.01.1978,HR-менеджер,селище Тернопіль,"сквер 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 21 кв. 1",091 739 21 20,marta27@example.org
Ященко,Ігнат,Андрійович,Чоловіча,11.12.1979,Менеджер,місто Городенка,"вулиця Кримська, буд. 773",591 23 88,yskopenko@example.net
Парасюк,Трохим,Іванович,Чоловіча,09.12.2005,Аналітик,село Арциз,"узвіз Іони Отаманського, буд. 47",652 58 18,mariiaovsiienko@example.org
Архипенко,Зорян,Вікторович,Чоловіча,25.04.1991,Аналітик,село Ніжин,"шосе Шостої 2-й, буд. 8",465-58-00,bdakhno@example.net
Сагаль,Гордій,Григорович,Чоловіча,13.12.1999,Економіст,хутір Вараш,"вулиця Студентський 3-й, буд. 42",064 651-22-13,zorian90@example.com
Дзиндра,Аркадій,Михайлович,Чоловіча,21.02.1954,Аналітик,місто Почаїв,"площа Мала Арнаутська, буд. 650 кв. 38",+380 58 533 11 63,ielysei89@example.com
Захаренко,Валентина,Ігорівна,Жіноча,31.08.1963,Менеджер,місто Сіверськ,"набережна Ігоря Балмагії, буд. 5",008 512 87 18,pderevianko@example.net
Зінченко,Панас,Дмитрович,Чоловіча,26.12.1957,Програміст,село Теплодар,"площа Лазурний 1-й, буд. 12",043 760-17-83,daniukhymenko@example.net
Дашкевич,Пріска,Іванівна,Жіноча,12.10.1959,Інженер,селище Верхньодніпровськ,"узвіз Східний 2-й, буд. 6 кв. 6",487-50-10,khomaderkach@example.com
Примаченко,Панас,Михайлович,Чоловіча,28.12.1942,Економіст,місто Покров,"проспект Чернишевського, буд. 38",+380 (87) 346-54-29,ykashchenko@example.org
Венгринович,Богуслав,Олегович,Чоловіча,19.03.1996,Координатор,хутір Овруч,"шосе Базарна, буд. 8 кв. 9",+380 16 238-41-60,zakhartovstolis@example.net
Батуринець,Захар,Іванович,Чоловіча,28.03.2006,Програміст,селище Костянтинівка,"вулиця Івана Микитенка, буд. 896",078 097-39-79,chabanstanislav@example.net
Терещук,Богуслава,Анатоліївна,Жіноча,08.04.1985,Юрист,село Хуст,"провулок Лінія 29-та, буд. 260 кв. 292",166-71-46,zsheremeta@example.org
Конопленко,Костянтин,Васильович,Чоловіча,03.07.1969,Координатор,місто Чуднів,"провулок Сливовий, буд. 707",745 88 51,alina91@example.net
Кабаненко,Орися,Дмитрівна,Жіноча,08.09.1989,Спеціаліст,селище Сімферополь,"вулиця Миколи Огренича, буд. 30 кв. 130",086 346-45-76,korpaniukpanas@example.org
Гаврилишин,Святослава,Андріївна,Жіноча,24.02.1977,Бухгалтер,хутір Бобровиця,"площа Ракетна, буд. 83 кв. 96",182-68-84,hkylymnyk@example.net
Москаль,Іван,Олександрович,Чоловіча,10.06.1948,Консультант,місто Мерефа,"набережна Ліверпульський, буд. 21 кв. 1",+380 50 206-08-56,lshtokalo@example.net
Дробʼязко,Ірина,Олександрівна,Жіноча,18.08.1990,Програміст,селище Старокостянтинів,"вулиця Стрийський, буд. 874 кв. 828",+380 (44) 239-77-82,tshcherbak@example.com
Андрейко,Варфоломій,Ігорович,Чоловіча,06.07.2000,Дизайнер,село Валки,"сквер Генуезька, буд. 252",173 79 63,vdovychenkomykhailyna@example.com
Гоголь-Яновський,Олександр,Анатолійович,Чоловіча,21.01.1947,Інженер,село Жидачів,"проспект Пішонівська, буд. 511",+380 32 179 80 52,usahal@example.org
Цісик,Вадим,Степанович,Чоловіча,26.08.1974,Спеціаліст,хутір Баранівка,"сквер Композитора Вербицького, буд. 4",+380 50 462 68 41,babenkoiefrem@example.org
Яремків,Богуслав,Дмитрович,Чоловіча,28.10.1949,Юрист,село Тернівка,"проспект Хімічний 3-й, буд. 828 кв. 77",+380 07 207-74-09,simashkevychvadym@example.org
Удовенко,Георгій,Олександрович,Чоловіча,25.04.1962,Аналітик,хутір Іловайськ,"провулок Луганська, буд. 937",+380 (56) 250-35-47,frants99@example.com
Уманець,Ілля,Максимович,Чоловіча,31.05.2009,HR-менеджер,місто Бердичів,"вулиця Лінія 22-га, буд. 214 кв. 351",+380 36 186-48-93,kostiantynverkhovynets@example.com
Дзиндра,Ігор,Андрійович,Чоловіча,30.09.1979,Спеціаліст,селище Зіньків,"шосе Аркадійська, буд. 32",+380 22 328-28-40,illiaopanasenko@example.net
Каденюк,Мирон,Григорович,Чоловіча,27.03.2001,Консультант,місто Ромни,"вулиця Лютневий 2-й, буд. 192",+380 (80) 549-76-32,ypalii@example.net
Іванченко,Олесь,Миколайович,Чоловіча,30.09.2004,HR-менеджер,місто Докучаєвськ,"набережна Аеродромний 2-й, буд. 88 кв. 198",038 584 10 73,sshylo@example.net
Габелко,Ганна,Вікторівна,Жіноча,30.09.1968,Інженер,місто Вашківці,"набережна Зелений, буд. 5 кв. 7",584-45-80,iefrem82@example.com
